,rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list,count
0,1,434960,"리빙톡 조립식 신발정리함 10개입, 크림화이트 10개",19400,4952275105,https://www.coupang.com/vp/products/4952275105?itemId=6544876900&vendorItemId=73838946203&sourceType=CATEGORY&categoryId=434860,True,24,4.0,186.0,False,,0,['쿠팡상품번호: 4952275105 - 6544876900'],[],188.0
1,2,434960,"디자인룸즈 심플 와이드 다용도 신발수납장 12족, 1개",10070,2575204,https://www.coupang.com/vp/products/2575204?itemId=122775&vendorItemId=3000065551&sourceType=CATEGORY&categoryId=434860,True,7,4.5,4841.0,False,,0,"['단수: 5~6단', '재질: 폴리프로필렌(PP)', '형태: 일자형', '개당 수량: 1개', '쿠팡상품번호: 2575204 - 122775']",[],852.0
2,3,434960,"해피홈 룸트 슬림 신발정리대 10단 블랙, 1개",12470,44853835,https://www.coupang.com/vp/products/44853835?itemId=160596019&vendorItemId=3378286142&sourceType=CATEGORY&categoryId=434860,True,16,4.5,498.0,False,,0,"['단 수: 10단', '재질: 폴리프로필렌(PP)', '형태: 일자형', '개당 수량: 1개입', '쿠팡상품번호: 44853835 - 160596019']",[],294.0
3,4,434960,"까사마루 린다 신발장, 1개",11900,1710997697,https://www.coupang.com/vp/products/1710997697?itemId=2912052869&vendorItemId=70900758980&sourceType=CATEGORY&categoryId=434860,True,45,4.5,145.0,False,까사마루,0,"['개당 수량: 1개입', '쿠팡상품번호: 1710997697 - 2912052869']",[],145.0
4,5,434960,"데코 더블 신발정리대, 10개",9300,99640,https://www.coupang.com/vp/products/99640?itemId=194410&vendorItemId=70157871146&sourceType=CATEGORY&categoryId=434860,False,0,4.0,1324.0,False,,0,"['단 수: 1단', '재질: 폴리프로필렌(PP)', '형태: 일자형', '개당 수량: 1개', '쿠팡상품번호: 99640 - 194410']",[],343.0
5,6,434960,"아이홈 싱글 6단 신발정리대, 1개",9500,48683560,https://www.coupang.com/vp/products/48683560?itemId=172268734&vendorItemId=74276509660&sourceType=CATEGORY&categoryId=434860,False,31,4.5,1250.0,False,,0,"['단 수: 6단', '재질: 폴리프로필렌(PP)', '형태: 일자형', '개당 수량: 1개', '쿠팡상품번호: 48683560 - 172268734']",[],516.0
6,7,434960,"접이식 실내화정리대 4단 화이트, 1개",7900,504923,https://www.coupang.com/vp/products/504923?itemId=414300&vendorItemId=3000324628&sourceType=CATEGORY&categoryId=434860,True,10,4.5,1674.0,False,,0,"['단수: 3~4단', '재질: 강철/철제', '형태: 일자형', '개당 수량: 1개', '쿠팡상품번호: 504923 - 414300']",[],392.0
7,8,434960,"조립식 투명 신발정리함 10개 1세트 신발정리대, 기본형 신발정리함 블랙 1세트(10개)",11900,4517059807,https://www.coupang.com/vp/products/4517059807?itemId=5440888425&vendorItemId=75341207885&sourceType=CATEGORY&categoryId=434860,False,29,3.0,47.0,False,,0,"['개당 수량: 10', '형태: 박스형', '재질: 폴리프로필렌(PP)', '쿠팡상품번호: 4517059807 - 5440888425']",[],23.0
8,9,434960,"페어프랜즈 2단 원목 벤치 겸 신발정리대 중, 1개",34000,2575592,https://www.coupang.com/vp/products/2575592?itemId=367455&vendorItemId=70616875107&sourceType=CATEGORY&categoryId=434860,False,0,4.5,392.0,False,,0,"['단수: 2단', '용량: 80 x 26 x 50cm', '형태: 일자형', '재질: 원목/우드', '단수: 1~2단', '쿠팡상품번호: 2575592 - 367455']",[],114.0
9,10,434960,"드림 1+1 슬리퍼 걸이 II 욕실화 실내화 신발 거치대 현관 정리 용품 홀더 슈즈랙 꽂이, 1개",5300,300200729,https://www.coupang.com/vp/products/300200729?itemId=945257361&vendorItemId=74562885405&sourceType=CATEGORY&categoryId=434860,False,0,4.5,87.0,False,드림,0,['쿠팡상품번호: 300200729 - 945257361'],[],79.0
10,11,434960,"다용도 5단 신발 수납장 블랙, 1개",11310,1463810006,https://www.coupang.com/vp/products/1463810006?itemId=2517707830&vendorItemId=71748501897&sourceType=CATEGORY&categoryId=434860,False,43,4.5,131.0,False,,0,['쿠팡상품번호: 1463810006 - 2517707830'],[],129.0
11,12,434960,"노바리빙 모던 심플 신발정리대 블랙, 1개",31900,1448720120,https://www.coupang.com/vp/products/1448720120?itemId=2495421243&vendorItemId=70488590782&sourceType=CATEGORY&categoryId=434860,True,0,4.5,267.0,False,노바리빙,0,"['개당 수량: 1개입', '쿠팡상품번호: 1448720120 - 2495421243']",[],260.0
